TimeSeries ID,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1-instance-0.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1-instance-1.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1-instance-2.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:test.project_id:master-thesis-benchmark.zone:us-central1-a
project_id,master-thesis-benchmark,master-thesis-benchmark,master-thesis-benchmark,master-thesis-benchmark,master-thesis-benchmark
zone,europe-west6-c,europe-west6-c,europe-west6-c,europe-west6-c,us-central1-a
system_labels.name,backup-mt-1,backup-mt-1-instance-0,backup-mt-1-instance-1,backup-mt-1-instance-2,test
Tue Jul 11 2023 11:20:00 GMT+0200 (Central European Summer Time),0.18744306252735504,undefined,undefined,undefined,undefined
Tue Jul 11 2023 11:25:00 GMT+0200 (Central European Summer Time),0.0014347697208795058,undefined,undefined,undefined,undefined
Tue Jul 11 2023 11:30:00 GMT+0200 (Central European Summer Time),0.001359903468027035,undefined,undefined,undefined,undefined
Tue Jul 11 2023 11:35:00 GMT+0200 (Central European Summer Time),0.0026682570542978707,undefined,undefined,undefined,undefined
Tue Jul 11 2023 11:40:00 GMT+0200 (Central European Summer Time),0.006425882516679096,undefined,undefined,undefined,undefined
Tue Jul 11 2023 11:45:00 GMT+0200 (Central European Summer Time),0.001385669269011481,undefined,undefined,undefined,undefined
Tue Jul 11 2023 11:50:00 GMT+0200 (Central European Summer Time),0.0028908743190494417,undefined,undefined,undefined,undefined
Tue Jul 11 2023 11:55:00 GMT+0200 (Central European Summer Time),0.0018289007727763716,undefined,undefined,undefined,undefined
Tue Jul 11 2023 12:00:00 GMT+0200 (Central European Summer Time),0.0013532764516490184,undefined,undefined,undefined,undefined
Tue Jul 11 2023 12:05:00 GMT+0200 (Central European Summer Time),0.0013805163491599497,undefined,undefined,undefined,undefined
Tue Jul 11 2023 12:10:00 GMT+0200 (Central European Summer Time),0.00239852764166681,undefined,undefined,undefined,undefined
Tue Jul 11 2023 12:15:00 GMT+0200 (Central European Summer Time),0.006490712149211847,undefined,undefined,undefined,undefined
Tue Jul 11 2023 12:20:00 GMT+0200 (Central European Summer Time),0.0013778384961924317,undefined,undefined,undefined,undefined
Tue Jul 11 2023 12:25:00 GMT+0200 (Central European Summer Time),0.0013822956663760403,undefined,undefined,undefined,undefined
Tue Jul 11 2023 12:30:00 GMT+0200 (Central European Summer Time),0.0011832321277224739,undefined,undefined,undefined,undefined
Tue Jul 11 2023 12:35:00 GMT+0200 (Central European Summer Time),0.0013654780831633317,undefined,undefined,undefined,undefined
Tue Jul 11 2023 12:40:00 GMT+0200 (Central European Summer Time),0.0014952754040040025,undefined,undefined,undefined,undefined
Tue Jul 11 2023 12:45:00 GMT+0200 (Central European Summer Time),0.001342416764919913,undefined,undefined,undefined,undefined
Tue Jul 11 2023 12:50:00 GMT+0200 (Central European Summer Time),0.0012709530644588322,undefined,undefined,undefined,undefined
Tue Jul 11 2023 12:55:00 GMT+0200 (Central European Summer Time),0.0013167489862675433,undefined,undefined,undefined,undefined
Tue Jul 11 2023 13:00:00 GMT+0200 (Central European Summer Time),0.0505962847811273,undefined,undefined,undefined,undefined
Tue Jul 11 2023 13:05:00 GMT+0200 (Central European Summer Time),0.09903140430416968,0.27884998906561537,undefined,undefined,undefined
Tue Jul 11 2023 13:10:00 GMT+0200 (Central European Summer Time),0.5262302078207651,undefined,undefined,undefined,undefined
Tue Jul 11 2023 13:15:00 GMT+0200 (Central European Summer Time),0.9836665672268774,undefined,undefined,undefined,undefined
Tue Jul 11 2023 13:20:00 GMT+0200 (Central European Summer Time),0.901340692505889,undefined,undefined,undefined,undefined
Tue Jul 11 2023 13:25:00 GMT+0200 (Central European Summer Time),0.01050533760843185,0.6640335681712379,0.6142405982918437,0.6021102783940361,undefined
Tue Jul 11 2023 13:30:00 GMT+0200 (Central European Summer Time),0.37968792010503155,undefined,undefined,undefined,undefined
Tue Jul 11 2023 13:35:00 GMT+0200 (Central European Summer Time),0.9853957617683667,undefined,undefined,undefined,undefined
Tue Jul 11 2023 13:40:00 GMT+0200 (Central European Summer Time),0.9797553510555167,undefined,undefined,undefined,undefined
Tue Jul 11 2023 13:45:00 GMT+0200 (Central European Summer Time),0.1487136100243803,0.46666638309,0.594177503236015,0.43990286181166677,undefined
Tue Jul 11 2023 13:50:00 GMT+0200 (Central European Summer Time),0.8530959075581268,undefined,undefined,undefined,undefined
Tue Jul 11 2023 13:55:00 GMT+0200 (Central European Summer Time),0.9889856626301601,undefined,undefined,undefined,undefined
